r,edge12_unscaled,edge13_unscaled,edge23_unscaled,metric,success,eta_star,tau_cert,feasible_count,total_count,floquet_tau,floquet_tau_diag,floquet_delta,floquet_alpha1,floquet_alpha2,floquet_alpha3,conservatism_ratio
0.0,16.0,0.0,6.4,affine,true,0.983642578125,0.192620849609375,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,6.928839695590005
0.2,16.0,0.8,6.4,affine,true,0.96868896484375,0.1904541015625,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,7.007667348837488
0.4,16.0,1.6,6.4,affine,true,0.87493896484375,0.18095092773437502,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,7.375695751783485
0.6,16.0,2.4,6.4,affine,true,0.8909912109375,0.18036499023437502,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,7.399656592099251
0.8,16.0,3.2,6.4,affine,true,0.8614501953125,0.17294921875000002,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,7.716941415624116
1.0,16.0,4.0,6.4,affine,true,0.8673095703125,0.17249755859375004,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,7.737147121687245
1.2,16.0,4.8,6.4,affine,true,0.82891845703125,0.17127685546875,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,7.792290355396087
1.4,16.0,5.6,6.4,affine,true,0.76556396484375,0.16290893554687505,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,8.19254624978925
1.6,16.0,6.4,6.4,affine,true,0.73773193359375,0.15540771484375004,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,8.587984131377146
1.8,16.0,7.2,6.4,affine,true,0.70733642578125,0.15225830078125002,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,8.765623825588268
2.0,16.0,8.0,6.4,affine,true,0.67529296875,0.14688110351562503,210,210,1.33463898897171,1.33463898897171,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451607,9.086526156373361
